ID,PW,PH(V)/PW,PH/PW,SA,SA/PH(V)*PW,SFD,G_g,f2,f3,f4,f5,f7,f8,f9,f10,LD1,LD2,LD3,LD5,WC,IDNumber,Type
1,1225,1.195102041,1.229247752,363044.417,0.2,1.547,15.40739414,0.178,0.111,0.076,0.059,0.051,0.045,0.038,0.028,0.068,0.364,0.229,0.102,0.786465844,1,
2,1071,1.342670401,1.372743645,261607,0.17,1.509,15.44132545,0.172,0.091,0.057,0.042,0.038,0.035,0.038,0.048,0.085,0.349,0.184,0.097,0.818944699,2,
4,1148,1.039198606,1.018655825,205201.083,0.15,1.485,15.03945061,0.172,0.093,0.064,0.055,0.04,0.036,0.035,0.037,0.083,0.369,0.2,0.1,0.754311127,3,
5,1059,1.124645892,1.416951323,351768.833,0.28,1.558,15.14210257,0.16,0.113,0.086,0.064,0.047,0.042,0.041,0.046,0.051,0.299,0.209,0.105,0.840076118,4,
6,739,1.271989175,1.455682463,162925.25,0.23,1.461,14.78217411,0.148,0.081,0.058,0.047,0.039,0.039,0.054,0.061,0.075,0.28,0.169,0.107,0.745497568,5,
7,842,1.173396675,1.352819333,222355.083,0.27,1.505,15.01047869,0.129,0.083,0.061,0.054,0.042,0.045,0.053,0.062,0.066,0.255,0.161,0.122,0.74407696,6,
8,778,1.026992288,1.265707348,188860.833,0.3,1.484,14.4352609,0.137,0.097,0.071,0.054,0.041,0.037,0.04,0.043,0.062,0.263,0.175,0.091,0.829440906,7,
9,912,1.088815789,1.163637573,224910.583,0.25,1.505,14.78919787,0.13,0.079,0.059,0.05,0.041,0.046,0.053,0.067,0.057,0.269,0.156,0.126,0.738732679,8,
11,912,1.400219298,1.502132227,318124.667,0.27,1.536,15.41282103,0.146,0.089,0.062,0.052,0.047,0.048,0.054,0.06,0.056,0.28,0.171,0.128,0.809871188,9,
12,951,1.158780231,1.237994168,265940.333,0.25,1.53,14.8432276,0.13,0.086,0.067,0.059,0.049,0.049,0.054,0.06,0.061,0.247,0.169,0.137,0.806626314,10,
13,897,0.923076923,0.994840615,150139.083,0.2,1.45,14.81793724,0.169,0.089,0.064,0.052,0.05,0.047,0.034,0.026,0.074,0.369,0.222,0.1,0.742713302,11,
15,1219,1.284659557,1.311055604,332904.5,0.17,1.54,15.41430882,0.179,0.119,0.088,0.074,0.057,0.05,0.037,0.023,0.057,0.319,0.231,0.124,0.763087425,12,
21,1071,0.830065359,0.919440072,300706.417,0.32,1.543,14.76389125,0.139,0.093,0.073,0.06,0.044,0.041,0.041,0.046,0.053,0.284,0.186,0.105,0.832048564,13,
22,959,1.120959333,1.224915465,271972.667,0.26,1.531,14.9328722,0.159,0.112,0.074,0.054,0.038,0.035,0.033,0.038,0.062,0.305,0.201,0.087,0.811139069,14,
24,818,1.26405868,1.302194683,208691.5,0.25,1.496,14.58739991,0.149,0.1,0.077,0.065,0.041,0.032,0.032,0.035,0.059,0.306,0.211,0.081,0.837384063,15,
25,796,1.047738693,1.104496758,158815.75,0.24,1.459,14.54957725,0.16,0.1,0.075,0.055,0.036,0.033,0.034,0.041,0.078,0.294,0.193,0.1,0.768796568,16,
27,1198,0.952420701,1.003671467,347421.25,0.25,1.559,15.12603514,0.151,0.109,0.086,0.065,0.036,0.035,0.037,0.045,0.056,0.29,0.197,0.095,0.804808994,17,
28,519,1.807321773,1.856670785,126739.917,0.26,1.424,14.37043297,0.122,0.083,0.067,0.055,0.051,0.053,0.069,0.063,0.063,0.25,0.167,0.141,0.79057917,18,
30,1226,0.906199021,0.959227726,416360.333,0.31,1.584,15.29426935,0.144,0.093,0.073,0.061,0.045,0.043,0.042,0.045,0.045,0.28,0.196,0.104,0.742414861,19,
31,1039,0.952839269,1.044258103,203700.417,0.2,1.489,14.94907723,0.132,0.084,0.071,0.065,0.06,0.072,0.077,0.057,0.054,0.282,0.201,0.159,0.731866893,20,
33,1168,1.054794521,1.066724347,374822.167,0.26,1.556,15.34917491,0.137,0.084,0.068,0.05,0.049,0.043,0.047,0.057,0.053,0.293,0.173,0.118,0.806393099,21,
37,1097,1.085688241,1.108104858,262459.083,0.2,1.519,15.19381553,0.136,0.086,0.058,0.049,0.049,0.048,0.053,0.064,0.059,0.305,0.159,0.132,0.717967352,22,
38,1185,0.957805907,1.061440834,315406.167,0.23,1.547,15.30844151,0.154,0.104,0.072,0.048,0.035,0.031,0.032,0.045,0.059,0.317,0.199,0.084,0.746435119,23,
39,1222,0.929623568,1.047655342,297407,0.21,1.54,15.31318617,0.147,0.092,0.066,0.051,0.047,0.046,0.051,0.059,0.056,0.3,0.19,0.13,0.73367822,24,
40,1121,0.948260482,1.366827583,225420.667,0.19,1.501,15.07937421,0.169,0.102,0.072,0.057,0.044,0.045,0.044,0.037,0.063,0.362,0.217,0.103,0.755715558,25,
42,932,1.180257511,1.329761514,263522.667,0.26,1.528,14.95997324,0.135,0.088,0.066,0.052,0.051,0.053,0.051,0.052,0.055,0.289,0.169,0.134,0.744157692,26,
43,943,1.107104984,1.184142564,265476.25,0.27,1.526,15.13750935,0.128,0.08,0.068,0.054,0.048,0.045,0.047,0.056,0.047,0.257,0.166,0.125,0.713377117,27,
44,985,1.132994924,1.173831751,235769.583,0.21,1.51,14.98995048,0.123,0.077,0.052,0.042,0.037,0.037,0.045,0.066,0.072,0.269,0.136,0.116,0.71898883,28,
45,650,1.503076923,1.768658413,138912.25,0.22,1.439,14.76020114,0.124,0.09,0.072,0.063,0.059,0.068,0.069,0.064,0.064,0.243,0.181,0.139,0.731765365,29,
46,992,1.009072581,1.052507128,205173.667,0.21,1.491,14.92271045,0.162,0.089,0.058,0.042,0.037,0.038,0.038,0.042,0.076,0.316,0.174,0.099,0.740996984,30,
47,1041,1.330451489,1.530163051,277727.75,0.19,1.514,15.4425764,0.152,0.091,0.067,0.054,0.039,0.039,0.053,0.06,0.067,0.308,0.174,0.132,0.784363424,31,
48,961,1.097814776,1.259431825,213707.167,0.21,1.499,14.7947882,0.16,0.095,0.067,0.057,0.046,0.041,0.044,0.05,0.068,0.302,0.183,0.117,0.731127679,32,
50,1076,1.101301115,1.191035399,398226.667,0.31,1.567,15.20965143,0.146,0.101,0.075,0.06,0.039,0.036,0.034,0.038,0.056,0.3,0.182,0.093,0.777633177,33,
51,913,1.203723987,1.303970499,272561.667,0.27,1.535,14.86144025,0.141,0.098,0.083,0.071,0.043,0.036,0.032,0.037,0.061,0.273,0.194,0.09,0.816226361,34,
52,879,1.153583618,1.232838348,211226.667,0.24,1.496,14.63506357,0.124,0.095,0.075,0.064,0.054,0.053,0.053,0.054,0.06,0.287,0.185,0.142,0.789379008,35,
53,1223,0.854456255,1.002571642,416617.667,0.33,1.586,15.20698635,0.134,0.098,0.076,0.061,0.05,0.046,0.043,0.043,0.048,0.283,0.187,0.108,0.827983744,36,
54,904,1.08960177,1.157882294,255902.833,0.29,1.526,14.68991613,0.122,0.079,0.067,0.061,0.048,0.045,0.045,0.054,0.055,0.24,0.166,0.119,0.809465879,37,
55,570,1.822807018,1.838675184,100456.5,0.17,1.395,14.44558898,0.174,0.12,0.072,0.05,0.042,0.045,0.046,0.043,0.092,0.317,0.226,0.112,0.75,38,
56,921,1.30184582,1.372859603,163264.333,0.15,1.452,14.56569885,0.172,0.111,0.072,0.064,0.057,0.048,0.033,0.023,0.078,0.331,0.241,0.1,0.8346202,39,
57,1057,1.272469253,1.52821871,279617,0.2,1.516,15.34931043,0.166,0.107,0.076,0.057,0.039,0.036,0.038,0.039,0.067,0.347,0.215,0.103,0.80458221,40,
58,993,1.087613293,1.145775043,256640.667,0.24,1.522,15.12227934,0.139,0.088,0.066,0.055,0.057,0.06,0.059,0.055,0.058,0.293,0.187,0.128,0.758583211,41,
59,1222,0.966448445,1.02822269,439277.917,0.3,1.583,15.19046535,0.16,0.097,0.062,0.051,0.042,0.039,0.038,0.046,0.048,0.322,0.175,0.101,0.793710361,42,
60,924,1.069264069,1.105692241,194094.083,0.21,1.483,14.71871257,0.131,0.082,0.069,0.06,0.052,0.052,0.049,0.051,0.052,0.287,0.183,0.109,0.752125638,43,
61,1071,1.059757236,1.109137762,396081.167,0.33,1.58,15.07749037,0.136,0.096,0.071,0.059,0.048,0.045,0.045,0.049,0.043,0.263,0.178,0.118,0.80007682,44,
62,1117,1.053715309,1.191017685,431283.417,0.33,1.577,15.20220317,0.151,0.091,0.068,0.055,0.041,0.038,0.038,0.042,0.049,0.265,0.185,0.09,0.791737636,45,
64,892,1.078475336,1.198602056,240472.917,0.28,1.515,14.68218315,0.132,0.098,0.08,0.068,0.061,0.054,0.047,0.052,0.054,0.255,0.186,0.133,0.811125123,46,
65,980,0.962244898,1.165012654,271769.25,0.29,1.53,14.70582552,0.143,0.101,0.072,0.056,0.041,0.039,0.039,0.05,0.058,0.281,0.183,0.108,0.825768241,47,
67,824,1.251213592,1.339142993,150763.5,0.18,1.449,14.64139678,0.162,0.098,0.066,0.056,0.041,0.04,0.045,0.043,0.076,0.329,0.204,0.106,0.749460043,48,
68,1106,0.972875226,1.089545153,362195.167,0.3,1.573,15.10027375,0.14,0.094,0.076,0.063,0.04,0.036,0.035,0.04,0.058,0.255,0.175,0.098,0.808113403,49,
69,909,1.220022002,1.334381195,252675.5,0.25,1.522,14.9950342,0.124,0.091,0.07,0.056,0.052,0.052,0.052,0.052,0.054,0.261,0.174,0.119,0.764926355,50,
70,847,1.736717828,1.692171345,184390.833,0.15,1.459,14.67659301,0.162,0.09,0.068,0.059,0.055,0.051,0.04,0.032,0.075,0.34,0.2,0.111,0.839588795,51,
71,987,1.105369807,1.176799716,296648.083,0.28,1.542,14.88720578,0.133,0.094,0.069,0.048,0.035,0.033,0.039,0.055,0.051,0.24,0.168,0.104,0.802133604,52,
72,1142,1.353765324,1.362487235,310517.25,0.18,1.529,15.53653059,0.172,0.108,0.082,0.07,0.059,0.052,0.039,0.023,0.058,0.346,0.218,0.113,0.756226329,53,
73,1184,1.206081081,1.510262159,285263.167,0.17,1.519,15.55591881,0.187,0.115,0.077,0.068,0.047,0.033,0.022,0.015,0.075,0.387,0.241,0.073,0.738862559,54,
74,1002,1.439121756,1.463324012,305798.583,0.21,1.529,15.33711789,0.161,0.115,0.078,0.061,0.04,0.04,0.04,0.041,0.059,0.321,0.203,0.093,0.802993697,55,
76,1058,1.265595463,1.324770189,359288.833,0.25,1.553,15.70984948,0.167,0.099,0.069,0.055,0.037,0.037,0.043,0.052,0.067,0.3,0.188,0.1,0.744854934,56,
77,909,1.535753575,1.608683032,255018.667,0.2,1.507,15.41748205,0.156,0.1,0.072,0.062,0.059,0.056,0.046,0.038,0.067,0.317,0.212,0.122,0.763608413,57,
78,1144,1.483391608,1.501948909,322647.667,0.17,1.533,15.54871805,0.185,0.1,0.057,0.046,0.05,0.048,0.037,0.022,0.076,0.368,0.208,0.107,0.746252622,58,
79,1224,1.08251634,1.183905444,323107.583,0.2,1.532,15.21023793,0.188,0.113,0.079,0.06,0.044,0.041,0.033,0.025,0.06,0.368,0.202,0.106,0.751922885,59,
