ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,Wf(g),Wd(g),WC,,Wf-Wd,Wd/Wf
4,970,912,0.940206186,1005.958,1.037070103,115775.167,0.130872634,1.725,1.415,14.56412962,0.375,0.163,0.1,0.076,0.06,0.052,0.047,0.04,0.03,0.021,0.017,0.019,0.094,0.379,0.224,0.138,0.097,0.069,48.83,8.219999999,0.831660864,,53.20999998,0.184145968
5,652,1002,1.536809816,1049.554,1.609745399,80566.833,0.123322118,1.712,1.366,14.09365605,0.334,0.167,0.112,0.083,0.064,0.056,0.051,0.045,0.031,0.02,0.013,0.024,0.089,0.362,0.228,0.157,0.094,0.07,43.07,6.62,0.846296726,,29.53000001,0.190958904
6,735,813,1.106122449,852.28,1.159564626,118693.333,0.198631646,1.786,1.416,14.27566001,0.312,0.157,0.103,0.076,0.059,0.047,0.037,0.031,0.027,0.035,0.057,0.06,0.072,0.33,0.208,0.141,0.085,0.164,46.57,9.520000002,0.795576551,,46.05,0.181478848
7,705,751,1.065248227,820.089,1.163246809,128430.583,0.242571291,1.813,1.426,14.40502753,0.269,0.147,0.104,0.076,0.057,0.049,0.041,0.035,0.037,0.043,0.049,0.093,0.07,0.289,0.195,0.132,0.093,0.221,52.42000001,12.23,0.766692102,,15.91000001,0.228419011
8,594,549,0.924242424,602.252,1.013892256,83276.417,0.255366099,1.813,1.374,13.88772982,0.276,0.153,0.098,0.067,0.056,0.043,0.034,0.031,0.035,0.041,0.066,0.101,0.082,0.292,0.185,0.113,0.083,0.246,49.8,7.979999996,0.839759036,,43.21000001,0.224515434
9,657,729,1.109589041,775.25,1.179984779,102593.417,0.214203517,1.768,1.396,14.04084205,0.301,0.148,0.096,0.073,0.06,0.05,0.049,0.047,0.056,0.052,0.038,0.031,0.07,0.309,0.219,0.152,0.114,0.136,48.86999999,9.58,0.803969716,,22.24999999,0.213503005
10,582,893,1.534364261,963.387,1.655304124,75747.917,0.145745868,1.707,1.355,14.03615232,0.339,0.149,0.099,0.084,0.069,0.065,0.056,0.045,0.034,0.025,0.014,0.02,0.099,0.335,0.216,0.175,0.103,0.074,34.51,5.909999998,0.828745291,,56.54999999,0.171307151
11,579,669,1.155440415,727.802,1.256998273,73849.917,0.19065374,1.767,1.353,13.78035391,0.289,0.13,0.094,0.082,0.067,0.054,0.052,0.047,0.047,0.053,0.047,0.038,0.074,0.304,0.201,0.165,0.13,0.127,34.91,5.640000003,0.838441707,,37.02999998,0.200388685
12,563,728,1.293072824,769.281,1.366396092,66055.333,0.161164028,1.756,1.337,13.83471955,0.259,0.142,0.097,0.087,0.082,0.07,0.064,0.05,0.039,0.032,0.036,0.042,0.086,0.272,0.216,0.186,0.128,0.112,23.14000001,5.090000002,0.780034572,,40.84000001,0.23990322
13,717,802,1.118549512,837.982,1.168733612,100545.75,0.174851835,1.763,1.39,14.34390254,0.338,0.15,0.092,0.069,0.059,0.057,0.058,0.053,0.043,0.034,0.024,0.023,0.073,0.312,0.209,0.168,0.128,0.111,38.18999999,8.799999996,0.769573187,,36.4,0.240242121
15,886,940,1.060948081,978.112,1.103963883,115136,0.138245041,1.673,1.413,14.37976765,0.423,0.176,0.088,0.067,0.062,0.051,0.045,0.039,0.026,0.013,0.005,0.005,0.081,0.422,0.238,0.147,0.082,0.03,48.94,9.719999995,0.801389457,,43.72999999,0.198643944
