ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,WC,IDNumber,Type
1,1225,1464,1.195102041,1505.828496,1.229247752,363044.417,0.2,1.76,1.547,15.40739414,0.327,0.178,0.111,0.076,0.059,0.052,0.051,0.045,0.038,0.028,0.017,0.018,0.068,0.364,0.229,0.159,0.102,0.079,0.786465844,1,
2,1071,1438,1.342670401,1470.208443,1.372743645,261607,0.17,1.775,1.509,15.44132545,0.36,0.172,0.091,0.057,0.042,0.038,0.038,0.035,0.038,0.048,0.039,0.041,0.085,0.349,0.184,0.119,0.097,0.166,0.818944699,2,
4,1148,1193,1.039198606,1169.416887,1.018655825,205201.083,0.15,1.762,1.485,15.03945061,0.363,0.172,0.093,0.064,0.055,0.045,0.04,0.036,0.035,0.037,0.035,0.024,0.083,0.369,0.2,0.131,0.1,0.117,0.754311127,3,
5,1059,1191,1.124645892,1500.551451,1.416951323,351768.833,0.28,1.819,1.558,15.14210257,0.254,0.16,0.113,0.086,0.064,0.052,0.047,0.042,0.041,0.046,0.048,0.046,0.051,0.299,0.209,0.136,0.105,0.199,0.840076118,4,
6,739,940,1.271989175,1075.74934,1.455682463,162925.25,0.23,1.809,1.461,14.78217411,0.291,0.148,0.081,0.058,0.047,0.038,0.039,0.039,0.054,0.061,0.07,0.073,0.075,0.28,0.169,0.127,0.107,0.242,0.745497568,5,
7,842,988,1.173396675,1139.073879,1.352819333,222355.083,0.27,1.839,1.505,15.01047869,0.259,0.129,0.083,0.061,0.054,0.046,0.042,0.045,0.053,0.062,0.076,0.092,0.066,0.255,0.161,0.128,0.122,0.267,0.74407696,6,
8,778,799,1.026992288,984.7203166,1.265707348,188860.833,0.3,1.842,1.484,14.4352609,0.223,0.137,0.097,0.071,0.054,0.044,0.041,0.037,0.04,0.043,0.072,0.14,0.062,0.263,0.175,0.111,0.091,0.299,0.829440906,7,
9,912,993,1.088815789,1061.237467,1.163637573,224910.583,0.25,1.842,1.505,14.78919787,0.264,0.13,0.079,0.059,0.05,0.047,0.041,0.046,0.053,0.067,0.088,0.075,0.057,0.269,0.156,0.116,0.126,0.277,0.738732679,8,
11,912,1277,1.400219298,1369.944591,1.502132227,318124.667,0.27,1.829,1.536,15.41282103,0.264,0.146,0.089,0.062,0.052,0.047,0.047,0.048,0.054,0.06,0.066,0.066,0.056,0.28,0.171,0.133,0.128,0.232,0.809871188,9,
12,951,1102,1.158780231,1177.332454,1.237994168,265940.333,0.25,1.847,1.53,14.8432276,0.249,0.13,0.086,0.067,0.059,0.053,0.049,0.049,0.054,0.06,0.071,0.073,0.061,0.247,0.169,0.135,0.137,0.251,0.806626314,10,
