ID,PW,PH(V)/PW,SA,SA/PH(V)*PW,G_g,f2,f3,f4,f7,f9,f10,LD1,WC,IDNumber,Type
4,1148,1.039198606,205201.083,0.15,15.03945061,0.172,0.093,0.064,0.04,0.035,0.037,0.083,0.754311127,3,A
13,897,0.923076923,150139.083,0.2,14.81793724,0.169,0.089,0.064,0.05,0.034,0.026,0.074,0.742713302,11,A
22,959,1.120959333,271972.667,0.26,14.9328722,0.159,0.112,0.074,0.038,0.033,0.038,0.062,0.811139069,14,A
24,818,1.26405868,208691.5,0.25,14.58739991,0.149,0.1,0.077,0.041,0.032,0.035,0.059,0.837384063,15,A
25,796,1.047738693,158815.75,0.24,14.54957725,0.16,0.1,0.075,0.036,0.034,0.041,0.078,0.768796568,16,A
46,992,1.009072581,205173.667,0.21,14.92271045,0.162,0.089,0.058,0.037,0.038,0.042,0.076,0.740996984,30,A
51,913,1.203723987,272561.667,0.27,14.86144025,0.141,0.098,0.083,0.043,0.032,0.037,0.061,0.816226361,34,A
55,570,1.822807018,100456.5,0.17,14.44558898,0.174,0.12,0.072,0.042,0.046,0.043,0.092,0.75,38,A
70,847,1.736717828,184390.833,0.15,14.67659301,0.162,0.09,0.068,0.055,0.04,0.032,0.075,0.839588795,51,A
85,1137,1.011433597,156145.25,0.12,14.50656088,0.215,0.118,0.07,0.021,0.012,0.01,0.098,0.824165554,63,A
92,1220,1.354098361,197754.917,0.1,15.34251583,0.189,0.126,0.096,0.024,0.014,0.012,0.082,0.724283084,69,A
114,1019,1.132482826,250204.917,0.21,14.9846015,0.16,0.106,0.07,0.036,0.034,0.035,0.066,0.806939254,88,A
115,854,1.415690867,244068.333,0.24,14.84968079,0.158,0.1,0.068,0.031,0.027,0.03,0.076,0.837794036,89,A
120,989,1.073811931,152523.833,0.15,14.45350499,0.18,0.116,0.079,0.038,0.035,0.03,0.085,0.85216619,93,A
138,983,1.109867752,169708.75,0.16,15.0350611,0.182,0.107,0.079,0.033,0.016,0.014,0.093,0.811371713,105,A
143,982,1.488798371,315986.5,0.22,15.08514666,0.175,0.111,0.078,0.035,0.025,0.032,0.07,0.828957658,110,A
144,1226,0.871125612,234322.667,0.18,14.8191914,0.213,0.123,0.081,0.029,0.018,0.015,0.064,0.847258573,111,A
145,773,1.309184994,191535.167,0.24,14.5188721,0.173,0.116,0.082,0.034,0.033,0.037,0.064,0.839722406,112,A
149,945,1.354497354,148362,0.12,14.54148942,0.16,0.091,0.075,0.046,0.026,0.019,0.091,0.82988591,116,A
153,988,1.434210526,125618.25,0.09,14.35044809,0.166,0.103,0.08,0.04,0.017,0.011,0.08,0.818063888,119,A
172,951,1.249211356,177068.583,0.16,14.74409034,0.177,0.11,0.073,0.033,0.039,0.034,0.088,0.833407015,132,A
177,789,1.615969582,146623.417,0.15,14.70494757,0.168,0.112,0.088,0.047,0.019,0.012,0.085,0.825132658,137,A
185,1171,1.177625961,166533.667,0.1,14.79312274,0.19,0.097,0.065,0.03,0.022,0.018,0.086,0.834306297,145,A
186,794,1.329974811,116401.75,0.14,14.3512198,0.209,0.111,0.073,0.024,0.012,0.007,0.068,0.841060866,146,A
W002,964,1.332987552,218428.333,0.18,14.82657187,0.151,0.101,0.075,0.036,0.035,0.045,0.066,0.828042155,161,A
W003,905,1.18121547,129048.583,0.13,14.42099615,0.214,0.129,0.078,0.023,0.006,0.008,0.085,0.823095333,162,A
W004,723,1.629322268,164641.167,0.19,14.5873272,0.193,0.138,0.089,0.038,0.023,0.018,0.079,0.809159159,163,A
W010,1222,1.073649755,328789.667,0.21,15.17985996,0.202,0.129,0.09,0.043,0.025,0.02,0.066,0.831060493,167,A
W011,1181,0.950042337,254815.167,0.19,14.96707584,0.198,0.13,0.09,0.042,0.018,0.012,0.079,0.841177342,168,A
W013,836,1.662679426,191967.167,0.17,14.76872048,0.166,0.104,0.077,0.05,0.034,0.024,0.084,0.838081192,169,A
W019,1074,1.058659218,205024.667,0.17,14.94316949,0.183,0.11,0.078,0.032,0.025,0.025,0.083,0.824175824,172,A
W024,1014,1.079881657,122165.583,0.11,14.44596409,0.189,0.118,0.081,0.023,0.012,0.008,0.103,0.838190184,175,A
W028,1229,0.979658259,300039.583,0.2,15.1690679,0.16,0.099,0.065,0.036,0.036,0.036,0.07,0.821378505,179,A
W055,891,0.910213244,167497.083,0.23,14.34405237,0.258,0.143,0.078,0.018,0.004,0.002,0.058,0.841894504,191,A
W058,923,1.385698808,141271.917,0.12,14.98537423,0.174,0.118,0.098,0.042,0.017,0.014,0.094,0.697044335,194,A
W060,1018,1.306483301,186767.833,0.14,14.63999425,0.151,0.083,0.058,0.045,0.042,0.031,0.088,0.826090054,196,A
W061,1092,1.173992674,261686.5,0.19,15.23733916,0.157,0.11,0.073,0.032,0.036,0.045,0.074,0.832753923,197,A
W066,913,1.30558598,274693.917,0.25,14.8848985,0.15,0.085,0.059,0.036,0.035,0.047,0.068,0.826178815,200,A
W118,992,0.931451613,146278.167,0.16,14.31840002,0.169,0.106,0.068,0.033,0.04,0.051,0.067,0.800411523,240,A
W119,1209,1.182795699,214768.417,0.12,14.73332516,0.187,0.135,0.1,0.037,0.014,0.008,0.068,0.868694183,241,A
W120,925,1.536216216,262484.417,0.2,15.15064429,0.167,0.103,0.065,0.033,0.03,0.038,0.068,0.777765832,242,A
